Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
915;5;130;PLATE1200PP;RUSZT PROSTY PLATE DO WYPEŁNIENIA 1200MM;601270;POŁYSK;B;1.000;;1170104;S;TEST01;14276032;1;22000;STF;SCF;03681;
916;5;130;#MBNA;ZESTAW AKC. SP 86-CZĘŚCIOWY;626708000;OF. NR 1314502;;1.000;;1161231;I;MESS01;14276105;1;1000;STC;SCC;03727;
917;5;130;#MBNA;KOMBIMŁOT KHE 2860 QUICK W WALIZCE;600878510;OF. NR 1314502;;1.000;;1161231;I;MESS01;14276105;1;2000;STC;SCC;03727;
918;5;130;TCLOP16;ŁUK PROWADZĄCY RURĘ 16-17  TECEFLOOR;77910010;.;B;25.000;;1170116;I;TEST01;14277068;1;1000;STD;SCD;03851;
919;5;130;TCTASKP;TAŚMA KLEJĄCA DO ŁĄCZENIA PANELI STYROP.;77600010;MANKIETÓW FOLIOW.TAŚMY BRZEG.66M FLOOR;B;10.000;;1170116;I;TEST01;14277068;1;2000;STD;SCD;03851;
920;5;130;UCNZAAM16A;ZACISKARKA AKUMULATOROWA MINI ZESTAW;1083586;16-32;B;1.000;;1170117;I;UPSO01;14279756;1;1000;STB;SCB;03740;
921;5;130;UCNSZZ50;SZCZĘKA ZACISKOWA 50;1015792;;B;1.000;;1170117;I;UPSO01;14279756;1;3000;STB;SCB;03740;
922;5;130;TRAFFICSL40;LUSTRO TRAFFIC 40x80x3;88421000;Z OŚWIETLENIEM LED;B;1.000;;1170120;S;GEWA01;14281811;1;1000;STE;SCE;03675;
923;5;130;SILKSP120WP;SZAFKA PODUMYWALKOWA SILK 120x40x47;816021000;BEZ BLATU WENGE PANGAR;B;1.000;;1170116;S;GEWA01;14271666;1;4100;STB;SCB;03680;
924;5;130;BIOGROE023PR;KOCIOŁ BIO GRO-ECO 23kW PRAWY RECALART;KOTBIOGRO023PR;NA PALIWO STAŁE;B;1.000;;1160817;G;ZMBZ01;14225715;1;1000;SXC;SCC;03510;
925;5;130;ZKSNMW;MISKA WISZĄCA LEJOWA;K13103000;STAL NIERDZ. W KPL ŚRUBY ANTYKRADZIEŻ.;B;1.000;;1161028;S;GEWA01;14253488;1;14000;STC;SCC;03648;
926;5;130;ZKSNSMCZ;DESKA SEDESOWA TWARDA DUROPLAST;K10115000;CZARNA;B;1.000;;1161028;S;GEWA01;14253488;1;15000;STC;SCC;03648;
927;5;130;GEPEKO90111;KOLANO HDPE O DŁUGIM KOŃCU 90° 110;367055161;.;L;2.000;;1170117;I;GEWA01;14277276;1;16000;STC;SCC;03510;
928;5;130;GEPERE0137;REDUKCJA HDPE CENTRYCZNA 110x 90;367580161;.;L;2.000;;1170117;I;GEWA01;14277276;1;18000;STC;SCC;03510;
929;5;130;GEPEKO90126;KOLANO HDPE O DŁUGIM KOŃCU 90° 125;368055161;.;L;1.000;;1170117;I;GEWA01;14277276;1;20000;STC;SCC;03510;
930;5;130;GEPET4516090;TRÓJNIK HDPE 45° 160x 90;369130161;.;B;1.000;;1170117;I;GEWA01;14277276;1;21000;STC;SCC;03510;
931;5;130;GEPET45200125;TRÓJNIK HDPE 45° 200x125;370139161;.;B;1.000;;1170117;I;GEWA01;14277276;1;25000;STC;SCC;03510;
932;5;130;GEPELU45250;ŁUK HDPE 45° 250;371045161;;B;9.000;;1170117;I;GEWA01;14277276;1;27000;STC;SCC;03510;
933;5;130;GEPET45250110;TRÓJNIK HDPE 45° 250x110;371135161;.;B;4.000;;1170117;I;GEWA01;14277276;1;28000;STC;SCC;03510;
934;5;130;GEPET90250160;TRÓJNIK HDPE 90° 250x160;371195161;.;B;1.000;;1170117;I;GEWA01;14277276;1;29000;STC;SCC;03510;
935;5;130;GEPERED250200;REDUKCJA HDPE MIMOŚRODOWA 250x200 DŁUGA;371596161;.;B;1.000;;1170117;I;GEWA01;14277276;1;30000;STC;SCC;03510;
936;5;130;GEPEKM250;KOMPENSACJA HDPE 250;371700161;.;B;1.000;;1170117;I;GEWA01;14277276;1;31000;STC;SCC;03510;
937;5;130;GEPEEM250;ELEKTROMUFA HDPE 250MM;371775161;;B;9.000;;1170117;I;GEWA01;14277276;1;32000;STC;SCC;03510;
938;5;130;GEPESZU;UCHWYT SZYNY MONTAŻOWEJ;363862001;;B;13.000;;1170117;I;GEWA01;14277276;1;38000;STC;SCC;03510;
939;5;130;GEPESZS;SZYNA MONTAŻOWA 60x40(5M);363863001;.;B;50.000;;1170117;I;GEWA01;14277276;1;39000;STC;SCC;03510;
940;5;130;GEPELA64001;ŁĄCZNIK SZYNOWY MONTAŻOWY PLUVIA 4,5;363864001;.;B;8.000;;1170117;I;GEWA01;14277276;1;40000;STC;SCC;03510;
941;5;130;GEPEOE200;OPASKA ELEKTROZGRZEWALNA HDPE 200;370776161;.;B;23.000;;1170117;I;GEWA01;14277276;1;43000;STC;SCC;03510;
942;5;130;GEPEUCP200;UCHWYT DO RUR HDPE PLUVIA 200;370861261;STALOWY;B;25.000;;1170117;I;GEWA01;14277276;1;44000;STC;SCC;03510;
943;5;130;GEPETU250;TULEJA Z PODWÓJNYM PIERŚCIENIEM HDPE 250;371751161;.;B;2.000;;1170117;I;GEWA01;14277276;1;45000;STC;SCC;03510;
944;5;130;GEPEUCC250;UCHWYT DO RUR HDPE CYNKOW.250;371840001;1";B;3.000;;1170117;I;GEWA01;14277276;1;46000;STC;SCC;03510;
945;5;130;GEPEUCP250;UCHWYT DO RUR HDPE PLUVIA 250;371862001;STALOWY;B;14.000;;1170117;I;GEWA01;14277276;1;47000;STC;SCC;03510;
946;5;130;GEDBZA160;ZAŚLEPKA SILENT DB20 160;315005141;.;B;1.000;;1170117;I;GEWA01;14277276;1;48000;STC;SCC;03510;
947;5;130;#TMGR1;GRZEJNIK ŁAZ.POC 530*500 (336W) BIAŁY;GPOC055BIP300;PODŁĄCZENIE PRAWE 50CM;;1.000;;1120914;G;TEGD01;10967740;1;1000;GR4;GR4;03513;
948;5;130;REMSC22;SPIRALA DO CZYSZCZENIA RUR 22x4.5M;172200;;B;2.000;;1150924;I;REPR01;14137444;1;1000;SH2;SHA;03630;
949;5;130;KASKB9060100;KOLANO SPAL-POW TURBO 90°  60/100;812060001;WADEX MALOWANE BIAŁE;B;2.000;;1160606;G;WAWR01;14208337;1;1000;SXC;SCC;03510;
950;5;130;TURRUB02560100;RURA SPAL-POW TURBO  60/100 L= 250;809060001;WADEX MALOWANA BIAŁA;B;3.000;;1160606;G;WAWR01;14208337;1;2000;SXC;SCC;03510;
951;5;130;TURRUB05060100;RURA SPAL-POW TURBO  60/100 L= 500;808060001;WADEX MALOWANA BIAŁA;B;1.000;;1160606;G;WAWR01;14208337;1;3000;SXC;SCC;03510;
952;5;130;GFLD1252217;ŁUK 22° DŁUGI DN 125 PE100 SDR17;753080815;;B;1.000;;1160622;Z;FSWA01;14210782;1;5000;SH2;SHA;03630;
953;5;130;GFLD1253017;ŁUK 30° DŁUGI DN 125 PE100 SDR17;753060815;;B;1.000;;1160622;Z;FSWA01;14210782;1;6000;SH2;SHA;03630;
954;5;130;KGBUP30A;P-USZCZELKA DN300 48 kN/m KL.160;PUSZCZELKA 300/160;;B;4.000;;1161122;Z;KEHA04;14263328;1;2000;SH2;SHA;03630;
955;5;130;GEMEKO9063;KOLANO  90° 63 MEPLA;627271005;.;B;18.000;;1170117;I;GEWA01;14280364;1;8000;STC;SCC;03510;
956;5;130;GEMETR75;TRÓJNIK 75 MEPLA;628310005;.;B;1.000;;1170117;I;GEWA01;14280364;1;12000;STC;SCC;03510;
957;5;130;KASPD0110150;PRZEJŚCIE DACHOWE TURBO 0° 100/150 I;841150000;110/150 WADEX;B;1.000;;1161103;G;WAWR01;14254273;1;5000;STC;SCC;03510;
958;5;130;#BX7;ZAWÓR DN 52 AL EN z NASADĄ ALUMINIOWĄ;ZAWÓR DN 52 AL EN Z;UWAGA-KALK.OD C.ZAKUPU;;62.000;;1160930;I;BOPI01;14023791;1;3000;STB;SCB;03740;
959;5;130;WADCRU050181;RURA DWWK INVEST 180/225 L= 500;3541800007;WADEX SPALINOWA;B;1.000;;1160920;G;WAWR01;14225088;1;6000;STE;SCE;03675;
960;5;130;SOCY3DN06516;FILTR SIATKOWY Y333 DN 65 PN16;149B3262;TMAX=110°C KOŁNIERZOWY Z ZAŚLEPKĄ  SOCLA;B;1.000;;1161125;G;WAPF02;14260932;1;4000;STC;SCC;03510;
